Country Name,Country Code,Region,IncomeGroup,PPP Ratio (2024),Std Family Urban (Annual),Std Family Rural (Annual),Typical Fam Urban (Annual),Typical Fam Rural (Annual),Single Indiv Urban (Annual),Single Indiv Rural (Annual),Single Parent Urban (Annual),Single Parent Rural (Annual),Source,Median(LW),U/R Gap%(std fam),U/R Gap%(single parent),U/R Gap%(single individual),U/R Gap%(Typical Fam),(Sing parent burden% vs std fam(U))
Luxembourg,LUX,Europe & Central Asia,High income,0.883,31546,16772,28467,14714,26227,13291,51934,26124,Numbeo,26176.0,88.09,98.8,97.33,93.47,64.63
"Macao SAR, China",MAC,East Asia & Pacific,High income,0.567,17133,9670,15715,8727,13019,6678,26880,14185,PPP Model,13602.0,77.18,89.5,94.95,80.07,56.89
Madagascar,MDG,Sub-Saharan Africa,Low income,0.289,8640,4818,8410,4708,5955,3032,13377,6897,PPP Model,6426.0,79.33,93.95,96.41,78.63,54.83
Malawi,MWI,Sub-Saharan Africa,Low income,0.281,8396,4680,8193,4588,5764,2934,12992,6692,PPP Model,6228.0,79.4,94.14,96.46,78.57,54.74
Malaysia,MYS,East Asia & Pacific,Upper middle income,0.306,9817,5892,8675,5115,7185,3818,14913,8314,Numbeo,7750.0,66.62,79.37,88.19,69.6,51.91
Maldives,MDV,South Asia,Upper middle income,0.511,15409,8681,14265,7931,11534,5909,24126,12686,PPP Model,12110.0,77.5,90.18,95.19,79.86,56.57
Mali,MLI,Sub-Saharan Africa,Low income,0.33,9883,5525,9509,5315,6944,3541,15342,7946,PPP Model,7445.0,78.88,93.08,96.1,78.91,55.24
Malta,MLT,Middle East & North Africa,High income,0.628,19449,10861,16422,8838,16009,8180,31397,16523,Numbeo,16216.0,79.07,90.02,95.71,85.81,61.43
Marshall Islands,MHL,East Asia & Pacific,Upper middle income,0.943,28735,16364,25199,13909,23504,12122,45533,24455,PPP Model,23980.0,75.6,86.19,93.9,81.17,58.46
Mauritania,MRT,Sub-Saharan Africa,Lower middle income,0.286,8549,4767,8329,4664,5884,2996,13234,6821,PPP Model,6352.0,79.34,94.02,96.4,78.58,54.8
Mauritius,MUS,Sub-Saharan Africa,Upper middle income,0.377,9844,5905,8735,5133,7307,3783,15086,8484,Numbeo,7896.0,66.71,77.82,93.15,70.17,53.25
Mexico,MEX,Latin America & Caribbean,Upper middle income,0.542,14708,8070,13473,7364,11067,5318,23177,11802,Numbeo,11434.0,82.26,96.38,108.1,82.96,57.58
"Micronesia, Fed. Sts.",FSM,East Asia & Pacific,Lower middle income,0.958,29217,16643,25585,14119,23955,12356,46311,24888,PPP Model,24422.0,75.55,86.08,93.87,81.21,58.51
Moldova,MDA,Europe & Central Asia,Upper middle income,0.407,12777,6447,11368,5662,9444,4312,20622,9636,Numbeo,9540.0,98.19,114.01,119.02,100.78,61.4
Monaco,MCO,Europe & Central Asia,High income,0.0,22128,12429,19753,10854,17500,8975,35020,18450,Income Avg,17975.0,78.04,89.81,94.99,81.99,58.26
Mongolia,MNG,East Asia & Pacific,Upper middle income,0.353,10565,5913,10106,5644,7494,3824,16421,8525,PPP Model,8010.0,78.67,92.62,95.97,79.06,55.43
Montenegro,MNE,Europe & Central Asia,Upper middle income,0.389,13773,7856,13914,7863,10847,5396,21643,11558,Numbeo,11202.0,75.32,87.26,101.02,76.96,57.14
Morocco,MAR,Middle East & North Africa,Lower middle income,0.399,7533,4061,7669,4177,5592,2576,11763,5836,Numbeo,5714.0,85.5,101.56,117.08,83.6,56.15
Mozambique,MOZ,Sub-Saharan Africa,Low income,0.385,11557,6478,10969,6120,8303,4241,17994,9370,PPP Model,8836.0,78.4,92.04,95.78,79.23,55.7
Myanmar,MMR,East Asia & Pacific,Lower middle income,0.227,6738,3742,6702,3763,4483,2277,10382,5308,PPP Model,4896.0,80.06,95.59,96.88,78.1,54.08
Namibia,NAM,Sub-Saharan Africa,Lower middle income,0.378,11328,6347,10770,6010,8115,4144,17631,9174,PPP Model,8644.0,78.48,92.18,95.83,79.2,55.64
Nauru,NRU,East Asia & Pacific,High income,0.96,29274,16676,25630,14144,24007,12384,46402,24938,PPP Model,24472.0,75.55,86.07,93.85,81.21,58.51
Nepal,NPL,South Asia,Lower middle income,0.252,3966,2379,3978,2385,2412,1306,5959,3309,Numbeo,2860.0,66.71,80.08,84.69,66.79,50.25
Netherlands,NLD,Europe & Central Asia,High income,0.792,36721,19730,32718,17237,32621,16027,59008,29802,Numbeo,31212.0,86.12,98.0,103.54,89.81,60.69
New Caledonia,NCL,East Asia & Pacific,High income,0.0,22128,12429,19753,10854,17500,8975,35020,18450,Income Avg,17975.0,78.04,89.81,94.99,81.99,58.26
New Zealand,NZL,East Asia & Pacific,High income,0.886,20703,12438,18650,11075,17472,9478,32204,18329,Numbeo,17900.0,66.45,75.7,84.34,68.4,55.55
Nicaragua,NIC,Latin America & Caribbean,Lower middle income,0.327,9784,5468,9422,5267,6865,3500,15185,7862,PPP Model,7364.0,78.93,93.14,96.14,78.89,55.2
Niger,NER,Sub-Saharan Africa,Low income,0.359,10750,6018,10267,5733,7644,3901,16715,8682,PPP Model,8163.0,78.63,92.52,95.95,79.09,55.49
Nigeria,NGA,Sub-Saharan Africa,Lower middle income,0.119,18061,8211,19365,9734,11597,5519,29266,12114,Numbeo,11856.0,119.96,141.59,110.13,98.94,62.04
North Macedonia,MKD,Europe & Central Asia,Upper middle income,0.344,8101,4921,7775,4640,6045,3347,12260,6953,Numbeo,6499.0,64.62,76.33,80.61,67.56,51.34
Northern Mariana Islands,MNP,East Asia & Pacific,High income,0.0,22128,12429,19753,10854,17500,8975,35020,18450,Income Avg,17975.0,78.04,89.81,94.99,81.99,58.26
Norway,NOR,Europe & Central Asia,High income,0.851,23809,14229,20869,12231,19976,10457,36912,20754,Numbeo,20365.0,67.33,77.85,91.03,70.62,55.03
Oman,OMN,Middle East & North Africa,High income,0.486,12408,6981,12185,6981,9273,4768,19014,9899,Numbeo,9586.0,77.74,92.08,94.48,74.55,53.24
